label,code
"Informatique, information, généralités",ddc:000
Informatique,ddc:004
Bibliothéconomie et sciences de l'information,ddc:020
Organisations générales et muséologie,ddc:060
"Médias d'information, journalisme, édition",ddc:070
Manuscrits et livres rares,ddc:090
"Philosophie, psychologie",ddc:100
Métaphysique,ddc:110
"Epistémologie, causalité, genre humain",ddc:120
"Phénomènes paranormaux, seudosciences",ddc:130
Les divers systèmes et écoles philosophiques,ddc:140
Psychologie,ddc:150
Logique,ddc:160
Morale (éthique),ddc:170
"Philosophie de l'Antiquité, du Moyen Âge, de l'Orient",ddc:180
Philosophie occidentale moderne et philosophies non orientales,ddc:190
Religion,ddc:200
Philosophie et théorie de la religion,ddc:210
Bible,ddc:220
Théologie chrétienne,ddc:230
Théologie morale et pratiques chrétiennes,ddc:240
"Eglises locales, ordres religieux chrétiens",ddc:250
"Théologie chrétienne et société, ecclésiologie",ddc:260
Histoire et géographie du christianisme et de l'Eglise chrétienne,ddc:270
Confessions et sectes de l'Eglise chrétienne,ddc:280
Autres religions,ddc:290
"Sciences sociales, sociologie, anthropologie",ddc:300
Statistiques générales,ddc:310
Science politique,ddc:320
Economie,ddc:330
Droit,ddc:340
Administration publique. Arts et science militaires,ddc:350
Problèmes et services sociaux,ddc:360
Education et enseignement,ddc:370
"Commerce, communications, transports",ddc:380
Ethnologie,ddc:390
Langues et linguistique,ddc:400
Linguistique générale,ddc:410
Langue anglaise. Anglo-saxon,ddc:420
Langues germaniques. Allemand,ddc:430
Langues romanes. Français,ddc:440
"Langues italienne, roumaine, rhéto-romane",ddc:450
Langues espagnole et portugaise,ddc:460
Langues italiques. Latin,ddc:470
Langues helléniques. Grec classique,ddc:480
Autres langues,ddc:490
Sciences de la nature et mathématiques,ddc:500
Mathématiques,ddc:510
"Astronomie, cartographie, géodésie",ddc:520
Physique,ddc:530
"Chimie, minéralogie, cristallographie",ddc:540
Sciences de la terre,ddc:550
Paléontologie. Paléozoologie,ddc:560
"Sciences de la vie, biologie, biochimie",ddc:570
Plantes. Botanique,ddc:580
Animaux. Zoologie,ddc:590
Technologie (Sciences appliquées),ddc:600
Médecine et santé,ddc:610
Sciences de l'ingénieur,ddc:620
"Agronomie, agriculture et médecine vétérinaire",ddc:630
Economie domestique. Vie familiale,ddc:640
Gestion et organisation de l'entreprise,ddc:650
"Génie chimique, technologies alimentaires",ddc:660
Fabrication industrielle,ddc:670
Fabrication de produits à usages spécifiques,ddc:680
Bâtiments,ddc:690
Arts. Beaux-arts et arts décoratifs,ddc:700
Urbanisme,ddc:710
Architecture,ddc:720
Arts plastiques. Sculpture,ddc:730
Dessin. Arts décoratifs,ddc:740
Peinture,ddc:750
Arts graphiques,ddc:760
"Photographie et les photographies, art numérique",ddc:770
Musique,ddc:780
"Arts du spectacle, loisirs",ddc:790
Sport,ddc:796
"Histoire et critique littéraires, rhétorique",ddc:800
Littérature américaine en anglais,ddc:810
Littératures anglaise et anglo-saxonne,ddc:820
Littérature allemande,ddc:830
Littérature de langues romanes. Littérature française,ddc:840
Littérature italienne,ddc:850
Littératures espagnole et portugaise,ddc:860
Littérature latine,ddc:870
Littérature grecque,ddc:880
Littératures des autres langues,ddc:890
Géographie et histoire,ddc:900
Géographie et voyages,ddc:910
"Biographies générales, généalogie, emblèmes",ddc:920
Histoire ancienne et préhistoire,ddc:930
Histoire moderne et contemporaine de l'Europe,ddc:940
Histoire générale de la France,ddc:944
"Histoire générale de l'Asie, Orient, Extrême-Orient",ddc:950
Histoire générale de l'Afrique,ddc:960
Histoire générale de l'Amérique du Nord,ddc:970
Histoire générale de l'Amérique du Sud,ddc:980
"Histoire générale des autres parties du monde, des mondes extraterrestres. Iles du Pacifique",ddc:990
